LOINC_NUM,COMPONENT,PROPERTY,CLASS,Flag
52195-5,Date patient referred for treatment,Date,ATTACH.REHAB.CARDIAC,date
52200-3,Date range certifying the plan of care,DateRange,ATTACH.REHAB.CARDIAC,date
52202-9,Actual start of care date,Date,ATTACH.REHAB.CARDIAC,date
52216-9,Date range,DateRange,ATTACH.REHAB.SOCIAL,date
52217-7,Date range,DateRange,ATTACH.REHAB.SOCIAL,date
52220-1,Referring person name,Pn,ATTACH.REHAB.SOCIAL,name
52221-9,Referring person identifier,ID,ATTACH.REHAB.SOCIAL,identifier
52222-7,Date patient referred for treatment,Date,ATTACH.REHAB.SOCIAL,date
52227-6,Date range certifying the plan of care,DateRange,ATTACH.REHAB.SOCIAL,date
52229-2,Actual start of care date,Date,ATTACH.REHAB.SOCIAL,date
52243-3,Date range,DateRange,ATTACH.REHAB.OT,date
52246-6,Referring person name,Pn,ATTACH.REHAB.OT,name
52247-4,Referring person identifier,ID,ATTACH.REHAB.OT,identifier
52251-6,Date range certifying the plan of care,DateRange,ATTACH.REHAB.OT,date
52253-2,Actual start of care date,Date,ATTACH.REHAB.OT,date
52266-4,Defined school year,DateRange,ATTACH.REHAB.OT,date
52269-8,Date patient referred for treatment,Date,ATTACH.REHAB.OT,date
52271-4,Date range,DateRange,ATTACH.REHAB.PT,date
52272-2,Date range,DateRange,ATTACH.REHAB.PT,date
52275-5,Referring person name,Pn,ATTACH.REHAB.PT,name
52276-3,Referring person identifier,ID,ATTACH.REHAB.PT,identifier
52277-1,Date patient referred for treatment,Date,ATTACH.REHAB.PT,date
52282-1,Date range certifying the plan of care,DateRange,ATTACH.REHAB.PT,date
52284-7,Actual start of care date,Date,ATTACH.REHAB.PT,date
52297-9,Defined school year,DateRange,ATTACH.REHAB.PT,date
52301-9,Date range,DateRange,ATTACH.REHAB.PSYCH,date
52303-5,Date range,DateRange,ATTACH.REHAB.PSYCH,date
52306-8,Referring person name,Pn,ATTACH.REHAB.PSYCH,name
52307-6,Referring person identifier,ID,ATTACH.REHAB.PSYCH,identifier
52308-4,Date patient referred for treatment,Date,ATTACH.REHAB.PSYCH,date
52316-7,Date range certifying the plan of care,DateRange,ATTACH.REHAB.PSYCH,date
52318-3,Actual start of care date,Date,ATTACH.REHAB.PSYCH,date
52333-2,Date range,DateRange,ATTACH.REHAB.RT,date
52334-0,Date range,DateRange,ATTACH.REHAB.RT,date
52337-3,Referring person name,Pn,ATTACH.REHAB.RT,name
52338-1,Referring person identifier,ID,ATTACH.REHAB.RT,identifier
52339-9,Date patient referred for treatment,Date,ATTACH.REHAB.RT,date
52344-9,Date range certifying the plan of care,DateRange,ATTACH.REHAB.RT,date
52346-4,Actual start of care date,Date,ATTACH.REHAB.RT,date
52356-3,Date range,DateRange,ATTACH.REHAB.NURS,date
52357-1,Date range,DateRange,ATTACH.REHAB.NURS,date
52360-5,Referring person name,Pn,ATTACH.REHAB.NURS,name
52361-3,Referring person identifier,ID,ATTACH.REHAB.NURS,identifier
52362-1,Date patient referred for treatment,Date,ATTACH.REHAB.NURS,date
52367-0,Date range certifying the plan of care,DateRange,ATTACH.REHAB.NURS,date
52369-6,Actual start of care date,Date,ATTACH.REHAB.NURS,date
52383-7,Date range,DateRange,ATTACH.REHAB.SPEECH,date
52384-5,Date range,DateRange,ATTACH.REHAB.SPEECH,date
52387-8,Referring person name,Pn,ATTACH.REHAB.SPEECH,name
52388-6,Referring person identifier,ID,ATTACH.REHAB.SPEECH,identifier
52389-4,Date patient referred for treatment,Date,ATTACH.REHAB.SPEECH,date
52394-4,Date range certifying the plan of care,DateRange,ATTACH.REHAB.SPEECH,date
52396-9,Actual start of care date,Date,ATTACH.REHAB.SPEECH,date
52409-0,Defined school year,DateRange,ATTACH.REHAB.SPEECH,date
52413-2,Date range,DateRange,ATTACH.REHAB.OT,date
52455-3,Admission date,TmStp,ADMIN,date
52456-1,Assessment reference date,Date,SURVEY.CMS,date
52458-7,Name,Pn,SURVEY.CARE,name
52459-5,CMS certification number,ID,SURVEY.CARE,number
52461-1,Middle name,Pn,ADMIN.PATIENT,name
52462-9,Nickname,Pn,ADMIN.PATIENT,nickname
52463-7,Patient Identification Number or Provider Account Number,ID,ADMIN.PATIENT.ID,number
52525-3,Discharge date,TmStp,H&P.HX,date
52526-1,Attending physician name,Pn,CLIN,name
52531-1,Provider city,Loc,CLIN,city
52539-4,Prior postal code,Loc,ADMIN.PATIENT.DEMOG,postal
52584-0,Date of ulcer measurement,Date,SURVEY.CARE,date
52796-0,Planned stop date,Date,SURVEY.CARE,date
52827-3,Facility unique identifier panel,-,PANEL.SURVEY.NMMDS,identifier
52828-1,Federal provider name,ID,SURVEY.NMMDS,name
52831-5,Postal code,Loc,ADMIN.FACILITY,postal
52832-3,Survey reporting period start date,Date,SURVEY.NMMDS,date
52833-1,Survey reporting period end date,Date,SURVEY.NMMDS,date
53245-7,Driver license,Find,DOC.ONTOLOGY,license
53599-7,ZIP code of prior primary residence,Loc,SURVEY.MDS,zip
53719-1,Date of death - Canada,TmStp,TUMRRGT,date
54124-3,Birth date,Date,SURVEY.USSGFHT,date
54125-0,Name,Pn,ADMIN.PATIENT,name
54138-3,Name,Pn,SURVEY.USSGFHT,name
54503-8,Legal name of patient,-,PANEL.SURVEY.CMS,name
54504-6,Social Security and Medicare numbers,-,SURVEY.MDS,"number, social security"
54581-4,Facility provider numbers,-,PANEL.ADMIN,number
54592-1,Previous assessment reference date for significant correction,Date,SURVEY.CMS,date
54593-9,Assessment reference date - observation end date,Date,PANEL.SURVEY.CMS,date
54595-4,Start date of most recent Medicare stay,Date,SURVEY.CMS,date
54596-2,End date of most recent Medicare stay,Date,SURVEY.CMS,date
54883-4,Date of most recent routine pressure ulcer assessment,TmStp,SURVEY.MDS,date
54888-3,Date of onset of pressure injuries onset in this facility - oldest or only stage 3,Date,SURVEY.MDS,date
54889-1,Date of onset of pressure ulcers onset in this facility - newest stage 3,TmStp,SURVEY.MDS,date
54891-7,Date of onset of pressure injuries onset in this facility - oldest or only stage 4,Date,SURVEY.MDS,date
54892-5,Date of onset of pressure ulcers onset in this facility - newest stage 4,TmStp,SURVEY.MDS,date
54948-5,Date of onset of pressure ulcers onset in this facility - oldest or only unstageable due to coverage of wound bed by slough &or eschar,TmStp,SURVEY.MDS,date
54949-3,Date of onset of pressure ulcers onset in this facility - newest unstageable due to coverage of wound bed by slough &or eschar,TmStp,SURVEY.MDS,date
55025-1,Start date of speech language pathology and audiology services,Date,SURVEY.CMS,date
55026-9,End date of speech language pathology and audiology services,Date,SURVEY.CMS,date
55027-7,Start date of occupational therapy,Date,SURVEY.CMS,date
55028-5,End date of occupational therapy,Date,SURVEY.CMS,date
55029-3,Start date of physical therapy,Date,SURVEY.CMS,date
55030-1,End date of physical therapy,Date,SURVEY.CMS,date
55031-9,Start date of respiratory therapy,Date,SURVEY.MDS,date
55032-7,End date of respiratory therapy,Date,SURVEY.MDS,date
55033-5,Start date of psychological therapy by any licensed mental health professional,TmStp,SURVEY.MDS,"date, license"
55034-3,End date of psychological therapy by any licensed mental health professional,TmStp,SURVEY.MDS,"date, license"
55037-6,Start date of recreational and music therapy,TmStp,SURVEY.MDS,date
55038-4,End date of recreational and music therapy,TmStp,SURVEY.MDS,date
55209-1,Date and time of most recent arrival in U.S.,TmStp,PUBLICHEALTH,date
55218-2,Date of actual exposure to blood &or body fluid,Date,PUBLICHEALTH,date
55257-0,Date of last Clostridium tetani immunization,Date,H&P.HX,date
55282-8,Date symptoms of pregnancy first noted,Date,H&P.HX,date
55400-6,Date of last eye examination,Date,CLIN,date
56049-0,PhenX measure - current age,-,PANEL.PHENX,age
56118-3,Proxy name,Pn,PHENX,name
56155-5,Date referral lab test results received,TmStp,MISC,date
56795-8,Account number,ID,ADMIN.PATIENT.ID,"number, identifier"
56799-0,Address,Addr,ADMIN.PATIENT,address
56800-6,Date and time ED consult request initiated,TmStp,ED,date
56801-4,Date and time ED consult starts,TmStp,ED,date
56802-2,Primary care provider,ID,ADMIN.ID,identifier
56803-0,ED attending physician,ID,ADMIN.ID,identifier
56804-8,ED nurse,ID,ADMIN.ID,identifier
56805-5,ED accepting or admitting provider,ID,ADMIN.ID,identifier
56806-3,ED transferring provider,ID,ADMIN.ID,identifier
56807-1,ED transferring facility,ID,ADMIN.FACILITY,identifier
56808-9,ED accepting or admitting facility,ID,ADMIN.FACILITY,identifier
56809-7,ED tech,ID,ADMIN.ID,identifier
56811-3,Primary care clinic or system,ID,ADMIN.FACILITY,identifier
56812-1,Provider who accepted patient in transfer to another facility,ID,ADMIN.ID,identifier
56855-0,Provider assuming ultimate responsibility for care for patient upon ED disposition,ID,ADMIN.ID,identifier
56856-8,Provider assuming care for patient upon ED disposition,ID,ADMIN.ID,identifier
56859-2,Date and time of ED departure,TmStp,ED,date
56861-8,Name,Pn,ED,name
56862-6,Address,Addr,ED,address
56863-4,Phone number,Tele,ADMIN,"number, phone"
57060-6,Estimated date of delivery,Find,CLIN,date
57063-0,Delivery date,Date,OB.US,date
57064-8,Delivery date,Date,OB.US,date
57065-5,Quickening date,Date,OB.US,date
57066-3,Date fundal height reaches umbilicus,Date,OB.US,date
57070-5,Date next clinic visit,Date,H&P.HX,date
57201-6,Date of Physician-ordered Start of Care (Resumption of Care),Date,SURVEY.CMS,date
57202-4,Date of Referral,Date,SURVEY.CMS,date
58052-2,Date pressure injury first identified,Date,SURVEY.CMS,date
58123-1,Date of oldest stage 2 pressure injury,Date,SURVEY.CMS,date
58131-4,Date of influenza vaccination,Date,CLIN,date
58195-9,Date of Care Area Assessment (CAA) information,Date,SURVEY.MDS,date
58234-6,Date of trauma or procedure,Date,PHENX,date
58236-1,Date of myocardial infarction,Date,PHENX,date
58237-9,Name,ID,PHENX,name
58269-2,Date of first episode of atrial fibrillation,Date,PHENX,date
58276-7,Ever had outpatient test(s) performed for deep vein thrombosis,TmStp,PHENX,date
58278-3,Date of deep vein thrombosis diagnosis,Date,PHENX,date
58284-1,Date of pulmonary embolus diagnosis,Date,PHENX,date
58307-0,Date of onset of chest discomfort,Date,PHENX,date
58734-5,Collection date,TmStp,SPEC,date
59509-0,Date case completed.COC,Date,TUMRRGT,date
59510-8,Date case initiated,Date,TUMRRGT,date
59777-3,Latest date to give immunization,Date,VACCIN,date
59778-1,Date when overdue for immunization,Date,VACCIN,date
59853-2,Pathology specimen collection date 1,TmStp,TUMRRGT,date
59854-0,Pathology specimen collection date 2,TmStp,TUMRRGT,date
59855-7,Pathology specimen collection date 3,TmStp,TUMRRGT,date
59856-5,Pathology specimen collection date 4,TmStp,TUMRRGT,date
59857-3,Pathology specimen collection date 5,TmStp,TUMRRGT,date
60431-4,Date of previous biopsy,Date,H&P.HX,date
60432-2,Date of previous PAP smear,Date,H&P.HX,date
61099-8,Collection date^3rd specimen,TmStp,SPEC,date
61100-4,Collection date^2nd specimen,TmStp,SPEC,date
62317-3,Date of last blood product transfusion,TmStp,H&P.HX,date
62323-1,Post-discharge provider ID,ID,CHEM,identifier
62324-9,Post-discharge provider name,Pn,CHEM,name
62326-4,Post-discharge provider practice name,ID,CHEM,name
62327-2,Post-discharge provider practice address,Addr,CHEM,address
62328-0,Post-discharge provider practice phone number,Tele,ADMIN,"number, phone"
62330-6,Birth hospital facility name,ID,ADMIN.FACILITY,name
62331-4,Birth hospital facility address,Addr,ADMIN.FACILITY,address
62332-2,Birth hospital facility phone number,Tele,ADMIN.FACILITY,"number, phone"
63497-2,Current street number,Loc,PHENX,number
63498-0,Current street name,Loc,PHENX,name
63499-8,Current apartment number,Loc,PHENX,number
63500-3,Current city,Loc,PHENX,city
63502-9,Current zip code,Loc,PHENX,zip
63726-4,From what date did you live in the residence,Date,ADMIN.PATIENT,date
63727-2,To what date did you live in the residence,Date,ADMIN.PATIENT,date
63728-0,"What is the residence address, street - crosstreets, city, state or landmark",Find,PHENX,"address, city"
63758-7,What was the location of this company,Addr,PHENX,address
63780-1,Who is the oldest or what is the first name of your next brother or sister,Find,PHENX,name
63931-0,Date of diagnosis,Date,PHENX,date
63936-9,Start date of treatment or therapy,Date,H&P.HX,date
63939-3,End date of treatment or therapy,Date,H&P.HX,date
63944-3,Date of cancer recurrence,Date,PHENX,date
63963-3,Date of end of pregnancy,Date,PHENX,date
63968-2,Date of major illness or surgery,Date,PHENX,date
64010-2,Latitude for the residence,Angle,PHENX,latitude
64011-0,Longitude for the residence,Angle,PHENX,longitude
64297-5,Death certificate,Find,DOC.ONTOLOGY,certificate
64435-1,Medication time and date^pre exercise,TmStp,PHENX,date
64557-2,When were your childs tonsils removed,TmStp,PHENX,date
64583-8,Date your child has taken this medication,Date,PHENX,date
64586-1,Date the sleep disorder started,Date,PHENX,date
64589-5,"Date the psychological, psychiatric, emotional, or behavioral problem started",Date,PHENX,date
64601-8,Date of review,Date,PHENX,date
64604-2,Technician ID,ID,ADMIN,identifier
64712-3,On what date did that pregnancy end,Date,PHENX,date
64727-1,Date of birth or loss,TmStp,PHENX,date
64773-5,When did your child receive this treatment for other eye or vision problems,TmStp,PHENX,date
64786-7,When was your child first diagnosed as having an eye problem,TmStp,PHENX,date
64787-5,When was your child first diagnosed as having amblyopia,TmStp,PHENX,date
64788-3,When was your child first diagnosed as having strabismus,TmStp,PHENX,date
64790-9,When did your child first have this type of operation,TmStp,PHENX,date
64791-7,When did your child first start wearing an eye patch,TmStp,PHENX,date
64869-1,City,Find,PHENX,city
64879-0,Date when first prescribed,Date,PHENX,date
64881-6,Date stopped,Date,PHENX,date
64889-9,When did you last have the strength of your glasses checked,TmStp,PHENX,date
64891-5,When were you last able to do this,TmStp,PHENX,date
64991-3,Date of observation,Date,PHENX,date
65222-2,Symptom onset,TmStp,H&P.PX,date
65647-0,City,Loc,ADMIN.FACILITY,city
65648-8,Zip - post code,Loc,PHENX,zip
65650-4,Email address,EmailAddr,ADMIN.FACILITY,"address, email"
65651-2,Phone number,Tele,ADMIN.FACILITY,"number, phone"
65652-0,Testing facility name,ID,ADMIN.FACILITY,name
65667-8,When did your child receive this treatment for doctor reported vision problem,TmStp,PHENX,date
65719-7,When did the first stroke occur,TmStp,PHENX,date
65833-6,Address,Addr,SURVEY.ESRD,address
65838-5,Date submitted,Date,SURVEY.ESRD,date
65840-1,Principal result interpreter phone number,Tele,SURVEY.ESRD,"number, phone"
65844-3,Date of observation,Date,MISC,date
66165-2,Last ate or drank anything other than plain water,TmStp,H&P.HX,date
66167-8,When did you have coffee or tea with cream and sugar,TmStp,PHENX,date
66169-4,"When did you have alcohol, such as beer, wine, or liquor",TmStp,PHENX,date
66171-0,"When did you have gum, breath mints, lozenges, or cough drops, or other cough or cold remedies",TmStp,PHENX,date
66173-6,"When did you have antacids, laxatives, or anti-diarrheals",TmStp,PHENX,date
66183-5,When did you have dietary supplements such as vitamins and minerals,TmStp,PHENX,date
66302-1,Participant ID,ID,ADMIN.PATIENT.ID,identifier
66311-2,Date participant returned actigraph to clinic,Date,PHENX,date
66395-5,Booster date,Date,PHENX,date
66398-9,Trip start,TmStp,PHENX,date
66399-7,Trip end,TmStp,PHENX,date
66432-6,Date first Dx,Date,PHENX,date
66479-7,"If you were not born in USA, indicate as closely as possible the date you first arrived here",Date,PHENX,date
66946-5,Data retrieval completed,TmStp,PHENX,date
66947-3,Date last reaction,Date,PHENX,date
67148-7,Adjudication date by MD fracture coordinator,Date,PHENX,date
67152-9,Date abstracted,Date,PHENX,date
67153-7,Abstractor ID,ID,ADMIN.ID,identifier
67154-5,Nosologist ID,ID,ADMIN.ID,identifier
67290-7,Date of complication,Date,PHENX,date
67422-6,Name of your relative that have already participated in this investigation,Find,PHENX,name
67517-3,Last oral intake,TmStp,NEMSIS,date
67712-0,Center - CTR - ID number,ID,PHENX,number
67713-8,Diagnosing provider,Addr,CLIN,address
67714-6,Diagnosing provider phone number,Tele,CLIN,"number, phone"
67723-7,Date of health-related event,Date,CLIN,date
67782-3,Surgical operation date,Date,PHENX,date
67878-9,Facility name,ID,SURVEY.ESRD,name
68330-0,CMS certification number - CCN,ID,SURVEY.ESRD,number
68333-4,Date return to dialysis after failed transplant,Date,SURVEY.ESRD,date
68335-9,Self-dialysis training facility name,ID,SURVEY.ESRD,name
68339-1,Date self-dialysis training completion,Date,SURVEY.ESRD,date
68340-9,Attending physician phone number,Tele,SURVEY.ESRD,"number, phone"
68349-0,Date last dialysis treatment,Date,SURVEY.ESRD,date
68351-6,Date most recent transplant,Date,SURVEY.ESRD,date
68355-7,Date signed,TmStp,SURVEY.ESRD,date
68358-1,Date chronic dialysis began,Date,SURVEY.ESRD,date
68362-3,Date self-dialysis training began,Date,SURVEY.ESRD,date
68444-9,Date chronic dialysis began at current facility,Date,SURVEY.ESRD,date
68445-6,Date transplant,Date,SURVEY.ESRD,date
68446-4,Transplant facility name,ID,SURVEY.ESRD,name
68447-2,Date transplant admission,TmStp,SURVEY.ESRD,date
68490-2,Transplant preparation facility name,ID,SURVEY.ESRD,name
68491-0,Self-dialysis training physician name,Pn,SURVEY.ESRD,name
68492-8,Date last prenatal visit,Date,SURVEY.CDC,date
68499-3,Date last live birth,Date,SURVEY.CDC,date
68500-8,Date last other pregnancy outcome,Date,SURVEY.CDC,date
68963-8,Collection date & time,TmStp,SPEC,date
68989-3,Performing laboratory,Addr,MISC,address
68994-3,Performing laboratory name,ID,MISC,name
68995-0,Person completing form name,Pn,SURVEY.ESRD,name
68997-6,City,Loc,SURVEY.ESRD,city
68998-4,U.S. standard certificate of live birth - 2003 revision,-,PANEL.SURVEY.CDC,certificate
69044-6,Date first prenatal visit,Date,SURVEY.CDC,date
69409-1,U.S. standard certificate of death - 2003 revision,-,PANEL.SURVEY.CDC,certificate
69417-4,CMS certification number,ID,ADMIN.FACILITY,number
69434-9,Location of death name,ID,SURVEY.CDC,name
69435-6,Street address where death occurred if not facility,Addr,SURVEY.CDC,address
69439-8,Death certifier,Addr,SURVEY.CDC,address
69445-5,Injury date,Date,SURVEY.CDC,date
69446-3,Injury date comment,Txt,SURVEY.CDC,date
69454-7,Death date comment,Find,SURVEY.CDC,date
69993-4,Vendor serial number,ID,DEVICES,number
70952-7,Date of peritoneal dialysis adequacy measurement,Date,SURVEY.ESRD,date
71230-7,Birth certificate,Find,DOC.ONTOLOGY,certificate
71463-4,Date of infection onset,Date,SURVEY.ESRD,date
71464-2,Date first prescribed,TmStp,SURVEY.ESRD,date
71465-9,Date prescription changed,TmStp,SURVEY.ESRD,date
71466-7,Date prescription stopped,TmStp,SURVEY.ESRD,date
71472-5,Date of blood culture,TmStp,SURVEY.ESRD,date
71474-1,Date of infection hospitalization,Date,SURVEY.ESRD,date
71479-0,Date access infection confirmed,Date,SURVEY.ESRD,date
71503-7,Date opened,Date,SURVEY.ESRD,date
71504-5,Date closed,Date,SURVEY.ESRD,date
71505-2,Date changed ownership,Date,SURVEY.ESRD,date
71506-0,Date initially certified by medicare,Date,SURVEY.ESRD,date
71507-8,Fax number,Tele,SURVEY.ESRD,"number, fax"
71509-4,Phone number extension,Tele,SURVEY.ESRD,"number, phone"
71523-5,Date personnel record submitted,Date,SURVEY.ESRD,date
71526-8,Personnel employment name,Find,SURVEY.ESRD,name
71530-0,Business name,ID,SURVEY.ESRD,name
71534-2,Phone number,Tele,SURVEY.ESRD,"number, phone"
71540-9,Date personnel record submission,TmStp,SURVEY.ESRD,date
71723-1,Cell phone number,Tele,ADMIN,"number, phone"
71724-9,Home phone number,Tele,ADMIN,"number, phone"
71725-6,Business phone number extension,Tele,ADMIN,"number, phone"
71726-4,Business phone number,Tele,ADMIN,"number, phone"
71727-2,Fax number,Tele,ADMIN,"number, fax"
71729-8,Nine-digit postal code,Loc,ADMIN,postal
71730-6,Five-digit postal code,Loc,ADMIN,postal
71732-2,City,Addr,ADMIN,city
71736-3,Name prefix,Pn,ADMIN,name
71737-1,Name suffix,Pn,ADMIN,name
71739-7,First name,Pn,ADMIN,name
71740-5,Last name,Pn,ADMIN,name
71742-1,Date most recent record submitted,Date,SURVEY.ESRD,date
71750-4,Primary contact phone number extension,Tele,SURVEY.ESRD,"number, phone"
71751-2,Primary contact phone number,Tele,SURVEY.ESRD,"number, phone"
71752-0,Primary contact first name,Pn,SURVEY.ESRD,name
71753-8,Primary contact last name,Pn,SURVEY.ESRD,name
71766-0,Primary contact email,EmailAddr,SURVEY.ESRD,email
72048-2,Date arteriovenous fistula usable,Date,SURVEY.ESRD,date
72049-0,Date dialysis session,Date,SURVEY.ESRD,date
72051-6,Date catheter removal,Date,SURVEY.ESRD,date
72052-4,Date catheter placement,Date,SURVEY.ESRD,date
72053-2,Date arteriovenous fistula creation,Date,SURVEY.ESRD,date
72054-0,Date change of dialysis access type,Date,SURVEY.ESRD,date
72074-8,Date last formal post dialysis weight,Date,SURVEY.ESRD,date
72078-9,Date of echocardiogram,Date,SURVEY.ESRD,date
72081-3,Date of sodium education,Date,SURVEY.ESRD,date
72187-8,Date tetanus vaccine given,Date,SURVEY.GNHLTH,date
72486-4,Laboratory director name,Pn,MISC,name
73770-0,Name of facility infant transferred to,ID,SURVEY.CDC,name
73777-5,Name of facility mother transferred from,ID,SURVEY.CDC,name
74010-0,Date quit tobacco smoking,Date,H&P.HX,date
74014-2,Last drank alcohol,TmStp,H&P.HX,date
74015-9,Date recorded,TmStp,H&P.HX,date
74024-1,Family member identifier,ID,ADMIN.ID,identifier
74025-8,Mother identifier,ID,ADMIN.ID,identifier
74026-6,Father identifier,ID,ADMIN.ID,identifier
74548-9,Reporter phone number,Tele,SURVEY.AHRQ,"number, phone"
74555-4,Event discovery date & time,TmStp,SURVEY.AHRQ,date
74695-8,Nurse name,Pn,CLIN,name
74715-4,Vendor serial number,ID,DEVICES,number
75092-7,Birth date,Date,PATH,date
75167-7,Date of most recent non-treponemal test,Date,SURVEY.CDC,date
75170-1,Date first non-treponemal test,Date,SURVEY.CDC,date
75173-5,Date of first treponemal test,Date,SURVEY.CDC,date
75176-8,Date of most recent treponemal test,Date,SURVEY.CDC,date
75182-6,Date of first syphilis treatment during pregnancy,Date,SURVEY.CDC,date
75188-3,Date of first reactive non-treponemal test,Date,SURVEY.CDC,date
75191-7,Date of first reactive treponemal test,Date,SURVEY.CDC,date
75200-6,Date first prenatal visit,Date,SURVEY.CDC,date
75203-0,Date last menstrual period^pre delivery,Date,SURVEY.CDC,date
75329-3,Date of intrauterine device insertion,Date,CLIN,date
75360-8,Date of supracervical hysterectomy,Date,CLIN,date
75361-6,Date of total hysterectomy,Date,CLIN,date
75437-4,Note,Find,DOC.ONTOLOGY,license
75519-9,Encounter identifier,ID,SURVEY.PCORNET,identifier
75524-9,Facility identifier,ID,SURVEY.PCORNET,identifier
75526-4,Internal identifier,ID,SURVEY.PCORNET,identifier
75711-2,Date of autopsy,Date,MISC,date
76417-5,First Name,Pn,ADMIN,name
76419-1,Last name,Pn,ADMIN,name
76423-3,Date of first visit,Date,H&P.HX,date
76425-8,Date of onset,Date,H&P.HX,date
76426-6,Start date for episode of care,Date,APTA,date
76427-4,Visit date,Date,H&P.HX,date
76429-0,Physical therapy discharge date,Date,H&P.HX,date
76435-7,Identifier,ID,ADMIN.PATIENT.ID,identifier
76458-9,Email address,EmailAddr,ADMIN.PATIENT,"address, email"
76469-6,Name,ID,ADMIN,name
76695-6,Postal code,Loc,ADMIN,zip
76696-4,Name,ID,ADMIN.FACILITY,"name, identifier"
77970-2,Date of initial report,TmStp,SURVEY.CDC,date
77972-8,Earliest date reported to county,TmStp,SURVEY.CDC,"date, county"
77973-6,Earliest date reported to state,TmStp,SURVEY.CDC,date
77975-1,Earliest date of diagnosis,Date,H&P.HX,date
77976-9,Illness or injury end date,Date,H&P.HX,date
79216-8,Date education program assigned,Date,CLIN,date
79217-6,Date education program started,Date,CLIN,date
79218-4,Date education program completed,Date,CLIN,date
79219-2,Date education program expires,Date,CLIN,date
80265-2,Date of last bowel movement,Date,H&P.PX,date
80331-2,Date and time of last void,TmStp,H&P.PX,date
80395-7,Date of gestational age estimate,Date,CLIN,"age, date"
80406-2,Date and time of initial encounter,TmStp,H&P.HX,date
80410-4,Date and time of transfer departure,TmStp,ED,date
80427-8,Employer name,ID,H&P.HX,"name, identifier"
80428-6,Past employer name,ID,H&P.HX,"name, identifier"
80429-4,Employer address,Addr,ADMIN.PATIENT,address
80430-2,Past employer address,Addr,ADMIN.PATIENT,address
80431-0,Employer city,Loc,ADMIN.PATIENT,city
80432-8,Past employer city,Loc,ADMIN.PATIENT,city
80616-6,Date and time pronounced dead,TmStp,SURVEY.CDC,"date, certificate"
80903-8,Birth certificate number,ID,SURVEY.CDC,certificate
80907-9,Death registration date,Date,SURVEY.CDC,date
80909-5,Father's last name,Pn,SURVEY.CDC,name
80911-1,Death pronouncer,ExtendedID,SURVEY.CDC,identifier
80989-7,Date of procedure,Date,CLIN,date
80992-1,Date and time of surgery,TmStp,CLIN,date
80993-9,Date and time of first balloon inflation,TmStp,CARD.PROC,date
81266-9,Date of fever onset,Date,H&P.HX,date
81268-5,Date of rash onset,Date,H&P.HX,date
81954-0,Date of death,Date,ADMIN.PATIENT,date
81956-5,Date and time of death,TmStp,ADMIN.PATIENT,date
82157-9,Birth date,Date,ADMIN,date
82749-3,Date diagnosis confirmed,Date,H&P.HX,date
82752-7,Date travel started,Date,H&P.HX,date
82756-8,Date of blood donation,Date,H&P.HX,date
82758-4,Date of previous diagnosis,Date,H&P.HX,date
82760-0,Date of splenectomy,Date,H&P.HX,date
82765-9,Date prescription dispensed,Date,MEDS,date
82772-5,Lab result date reported,Date,LABORDERS,date
82778-2,Trial enrollment date,Date,CLINTRIAL,date
82779-0,Trial participation end date,Date,CLINTRIAL,date
82785-7,Lab order date,Date,LABORDERS,date
82787-3,Participant identifier,ID,CLINTRIAL,identifier
82789-9,Trial early withdrawal date,Date,CLINTRIAL,date
84188-2,Note,Find,DOC.ONTOLOGY,license
84189-0,Note,Find,DOC.ONTOLOGY,license
85585-8,Date of condition onset,Date,SURVEY.GNHLTH,date
85674-0,Date of serology test^pre pregnancy,Date,H&P.HX,date
85692-2,Year previously tested for rubella virus immunity,Date,VACCIN,date
85695-5,Prior condition onset year,Date,H&P.HX,date
85704-5,Year of previous delivery in the U.S.,Date,H&P.HX,date
85706-0,Date of exposure to individual with confirmed illness,Date,H&P.HX,date
85729-2,Date of fever onset,Date,H&P.HX,date
85732-6,Date of rash onset,Date,H&P.HX,date
85734-2,Date of last evaluation,Date,H&P.HX,date
85931-4,Date of salivary gland swelling onset,Date,H&P.HX,date
85932-2,Date of cough onset,Date,H&P.HX,date
8598-5,Comparison.study,TmStp,EKG.ATOM,date
86345-6,U.S. standard certificate of death - recommended 2003 revision set,-,PANEL.DOC,certificate
86347-2,U.S. standard certificate of live birth - recommended 2003 revision set,-,PANEL.DOC,certificate
86470-2,Most recent inpatient discharge date in the last 14D,Date,SURVEY.CMS,date
8649-6,Hospital discharge date,TmStp,H&P.HX,date
8656-1,Hospital admission date,TmStp,H&P.HX,date
8665-2,Date last menstrual period,Date,H&P.HX,date
86771-3,Date therapy regimen resumed,Date,SURVEY.CMS,date
86948-7,Date treatment or therapy started,Date,H&P.HX,date
87216-8,Date on existing record to be modified or inactivated,-,PANEL.SURVEY.CMS,date
87219-2,Attesting individual first name,Pn,SURVEY.CMS,name
87220-0,Attesting individual last name,Pn,SURVEY.CMS,name
87222-6,Attestation date,Date,SURVEY.CMS,date
87226-7,Legal name of patient - first and last,-,PANEL.ADMIN,name
8723-9,Surgical operation note date,TmStp,H&P.SURG PROC,date
87286-1,Birth attendant,ExtendedID,ADMIN,identifier
87287-9,Birth certifier,ExtendedID,ADMIN,identifier
87288-7,Date of birth certification,Date,ADMIN.PATIENT,date
87289-5,Date of fetal death registration,Date,ADMIN,date
